date,review_count,snapshot_date
2009-06-30,1,"03 March, 2025"
2009-07-31,2,"03 March, 2025"
2009-08-31,0,"03 March, 2025"
2009-09-30,1,"03 March, 2025"
2009-10-31,0,"03 March, 2025"
2009-11-30,0,"03 March, 2025"
2009-12-31,1,"03 March, 2025"
2010-01-31,1,"03 March, 2025"
2010-02-28,2,"03 March, 2025"
2010-03-31,1,"03 March, 2025"
2010-04-30,7,"03 March, 2025"
2010-05-31,14,"03 March, 2025"
2010-06-30,12,"03 March, 2025"
2010-07-31,23,"03 March, 2025"
2010-08-31,19,"03 March, 2025"
2010-09-30,44,"03 March, 2025"
2010-10-31,41,"03 March, 2025"
2010-11-30,31,"03 March, 2025"
2010-12-31,28,"03 March, 2025"
2011-01-31,28,"03 March, 2025"
2011-02-28,25,"03 March, 2025"
2011-03-31,45,"03 March, 2025"
2011-04-30,63,"03 March, 2025"
2011-05-31,87,"03 March, 2025"
2011-06-30,124,"03 March, 2025"
2011-07-31,99,"03 March, 2025"
2011-08-31,92,"03 March, 2025"
2011-09-30,126,"03 March, 2025"
2011-10-31,164,"03 March, 2025"
2011-11-30,127,"03 March, 2025"
2011-12-31,96,"03 March, 2025"
2012-01-31,142,"03 March, 2025"
2012-02-29,110,"03 March, 2025"
2012-03-31,155,"03 March, 2025"
2012-04-30,226,"03 March, 2025"
2012-05-31,271,"03 March, 2025"
2012-06-30,315,"03 March, 2025"
2012-07-31,374,"03 March, 2025"
2012-08-31,308,"03 March, 2025"
2012-09-30,429,"03 March, 2025"
2012-10-31,468,"03 March, 2025"
2012-11-30,354,"03 March, 2025"
2012-12-31,296,"03 March, 2025"
2013-01-31,438,"03 March, 2025"
2013-02-28,266,"03 March, 2025"
2013-03-31,466,"03 March, 2025"
2013-04-30,650,"03 March, 2025"
2013-05-31,744,"03 March, 2025"
2013-06-30,956,"03 March, 2025"
2013-07-31,1022,"03 March, 2025"
2013-08-31,715,"03 March, 2025"
2013-09-30,1056,"03 March, 2025"
2013-10-31,1034,"03 March, 2025"
2013-11-30,780,"03 March, 2025"
2013-12-31,788,"03 March, 2025"
2014-01-31,957,"03 March, 2025"
2014-02-28,677,"03 March, 2025"
2014-03-31,965,"03 March, 2025"
2014-04-30,1574,"03 March, 2025"
2014-05-31,1667,"03 March, 2025"
2014-06-30,2137,"03 March, 2025"
2014-07-31,2229,"03 March, 2025"
2014-08-31,1987,"03 March, 2025"
2014-09-30,2608,"03 March, 2025"
2014-10-31,2920,"03 March, 2025"
2014-11-30,1905,"03 March, 2025"
2014-12-31,1991,"03 March, 2025"
2015-01-31,2289,"03 March, 2025"
2015-02-28,1628,"03 March, 2025"
2015-03-31,2275,"03 March, 2025"
2015-04-30,3436,"03 March, 2025"
2015-05-31,4202,"03 March, 2025"
2015-06-30,4928,"03 March, 2025"
2015-07-31,5481,"03 March, 2025"
2015-08-31,4568,"03 March, 2025"
2015-09-30,5539,"03 March, 2025"
2015-10-31,5843,"03 March, 2025"
2015-11-30,3725,"03 March, 2025"
2015-12-31,3733,"03 March, 2025"
2016-01-31,3867,"03 March, 2025"
2016-02-29,3183,"03 March, 2025"
2016-03-31,4255,"03 March, 2025"
2016-04-30,5043,"03 March, 2025"
2016-05-31,6535,"03 March, 2025"
2016-06-30,8473,"03 March, 2025"
2016-07-31,8085,"03 March, 2025"
2016-08-31,5606,"03 March, 2025"
2016-09-30,7134,"03 March, 2025"
2016-10-31,8383,"03 March, 2025"
2016-11-30,5683,"03 March, 2025"
2016-12-31,5765,"03 March, 2025"
2017-01-31,6647,"03 March, 2025"
2017-02-28,5003,"03 March, 2025"
2017-03-31,7032,"03 March, 2025"
2017-04-30,8843,"03 March, 2025"
2017-05-31,9833,"03 March, 2025"
2017-06-30,11307,"03 March, 2025"
2017-07-31,11649,"03 March, 2025"
2017-08-31,7943,"03 March, 2025"
2017-09-30,10234,"03 March, 2025"
2017-10-31,10735,"03 March, 2025"
2017-11-30,7755,"03 March, 2025"
2017-12-31,7972,"03 March, 2025"
2018-01-31,9118,"03 March, 2025"
2018-02-28,7333,"03 March, 2025"
2018-03-31,10151,"03 March, 2025"
2018-04-30,11977,"03 March, 2025"
2018-05-31,12698,"03 March, 2025"
2018-06-30,14648,"03 March, 2025"
2018-07-31,15532,"03 March, 2025"
2018-08-31,12211,"03 March, 2025"
2018-09-30,14938,"03 March, 2025"
2018-10-31,15930,"03 March, 2025"
2018-11-30,12471,"03 March, 2025"
2018-12-31,11037,"03 March, 2025"
2019-01-31,12002,"03 March, 2025"
2019-02-28,9828,"03 March, 2025"
2019-03-31,13384,"03 March, 2025"
2019-04-30,15953,"03 March, 2025"
2019-05-31,15863,"03 March, 2025"
2019-06-30,20326,"03 March, 2025"
2019-07-31,18326,"03 March, 2025"
2019-08-31,14102,"03 March, 2025"
2019-09-30,18102,"03 March, 2025"
2019-10-31,17463,"03 March, 2025"
2019-11-30,14387,"03 March, 2025"
2019-12-31,12353,"03 March, 2025"
2020-01-31,14364,"03 March, 2025"
2020-02-29,12698,"03 March, 2025"
2020-03-31,6895,"03 March, 2025"
2020-04-30,400,"03 March, 2025"
2020-05-31,928,"03 March, 2025"
2020-06-30,2402,"03 March, 2025"
2020-07-31,5721,"03 March, 2025"
2020-08-31,6219,"03 March, 2025"
2020-09-30,5666,"03 March, 2025"
2020-10-31,6106,"03 March, 2025"
2020-11-30,1787,"03 March, 2025"
2020-12-31,3467,"03 March, 2025"
2021-01-31,4442,"03 March, 2025"
2021-02-28,4391,"03 March, 2025"
2021-03-31,4008,"03 March, 2025"
2021-04-30,2843,"03 March, 2025"
2021-05-31,5316,"03 March, 2025"
2021-06-30,8268,"03 March, 2025"
2021-07-31,13563,"03 March, 2025"
2021-08-31,14532,"03 March, 2025"
2021-09-30,15091,"03 March, 2025"
2021-10-31,18294,"03 March, 2025"
2021-11-30,18246,"03 March, 2025"
2021-12-31,16711,"03 March, 2025"
2022-01-31,13740,"03 March, 2025"
2022-02-28,14428,"03 March, 2025"
2022-03-31,19169,"03 March, 2025"
2022-04-30,23660,"03 March, 2025"
2022-05-31,26604,"03 March, 2025"
2022-06-30,27536,"03 March, 2025"
2022-07-31,32392,"03 March, 2025"
2022-08-31,27080,"03 March, 2025"
2022-09-30,27504,"03 March, 2025"
2022-10-31,29249,"03 March, 2025"
2022-11-30,24139,"03 March, 2025"
2022-12-31,21481,"03 March, 2025"
2023-01-31,23887,"03 March, 2025"
2023-02-28,21583,"03 March, 2025"
2023-03-31,26830,"03 March, 2025"
2023-04-30,34755,"03 March, 2025"
2023-05-31,39185,"03 March, 2025"
2023-06-30,43008,"03 March, 2025"
2023-07-31,40730,"03 March, 2025"
2023-08-31,31969,"03 March, 2025"
2023-09-30,39566,"03 March, 2025"
2023-10-31,45974,"03 March, 2025"
2023-11-30,27924,"03 March, 2025"
2023-12-31,26986,"03 March, 2025"
2024-01-31,27646,"03 March, 2025"
2024-02-29,23479,"03 March, 2025"
2024-03-31,36028,"03 March, 2025"
2024-04-30,41960,"03 March, 2025"
2024-05-31,48321,"03 March, 2025"
2024-06-30,51541,"03 March, 2025"
2024-07-31,38760,"03 March, 2025"
2024-08-31,47025,"03 March, 2025"
2024-09-30,49839,"03 March, 2025"
2024-10-31,59438,"03 March, 2025"
2024-11-30,42334,"03 March, 2025"
2024-12-31,43961,"03 March, 2025"
2025-01-31,43443,"03 March, 2025"
2025-02-28,36281,"03 March, 2025"
2025-03-31,6853,"03 March, 2025"
2009-06-30,1,"06 December, 2024"
2009-07-31,2,"06 December, 2024"
2009-08-31,0,"06 December, 2024"
2009-09-30,1,"06 December, 2024"
2009-10-31,0,"06 December, 2024"
2009-11-30,0,"06 December, 2024"
2009-12-31,1,"06 December, 2024"
2010-01-31,1,"06 December, 2024"
2010-02-28,2,"06 December, 2024"
2010-03-31,1,"06 December, 2024"
2010-04-30,7,"06 December, 2024"
2010-05-31,14,"06 December, 2024"
2010-06-30,12,"06 December, 2024"
2010-07-31,23,"06 December, 2024"
2010-08-31,19,"06 December, 2024"
2010-09-30,44,"06 December, 2024"
2010-10-31,42,"06 December, 2024"
2010-11-30,31,"06 December, 2024"
2010-12-31,28,"06 December, 2024"
2011-01-31,30,"06 December, 2024"
2011-02-28,26,"06 December, 2024"
2011-03-31,46,"06 December, 2024"
2011-04-30,65,"06 December, 2024"
2011-05-31,90,"06 December, 2024"
2011-06-30,128,"06 December, 2024"
2011-07-31,102,"06 December, 2024"
2011-08-31,91,"06 December, 2024"
2011-09-30,130,"06 December, 2024"
2011-10-31,167,"06 December, 2024"
2011-11-30,122,"06 December, 2024"
2011-12-31,99,"06 December, 2024"
2012-01-31,141,"06 December, 2024"
2012-02-29,108,"06 December, 2024"
2012-03-31,149,"06 December, 2024"
2012-04-30,219,"06 December, 2024"
2012-05-31,274,"06 December, 2024"
2012-06-30,321,"06 December, 2024"
2012-07-31,377,"06 December, 2024"
2012-08-31,304,"06 December, 2024"
2012-09-30,426,"06 December, 2024"
2012-10-31,481,"06 December, 2024"
2012-11-30,359,"06 December, 2024"
2012-12-31,302,"06 December, 2024"
2013-01-31,450,"06 December, 2024"
2013-02-28,275,"06 December, 2024"
2013-03-31,469,"06 December, 2024"
2013-04-30,661,"06 December, 2024"
2013-05-31,764,"06 December, 2024"
2013-06-30,973,"06 December, 2024"
2013-07-31,1068,"06 December, 2024"
2013-08-31,738,"06 December, 2024"
2013-09-30,1072,"06 December, 2024"
2013-10-31,1058,"06 December, 2024"
2013-11-30,796,"06 December, 2024"
2013-12-31,810,"06 December, 2024"
2014-01-31,976,"06 December, 2024"
2014-02-28,678,"06 December, 2024"
2014-03-31,985,"06 December, 2024"
2014-04-30,1592,"06 December, 2024"
2014-05-31,1691,"06 December, 2024"
2014-06-30,2180,"06 December, 2024"
2014-07-31,2279,"06 December, 2024"
2014-08-31,2036,"06 December, 2024"
2014-09-30,2691,"06 December, 2024"
2014-10-31,2994,"06 December, 2024"
2014-11-30,1979,"06 December, 2024"
2014-12-31,2049,"06 December, 2024"
2015-01-31,2357,"06 December, 2024"
2015-02-28,1685,"06 December, 2024"
2015-03-31,2368,"06 December, 2024"
2015-04-30,3552,"06 December, 2024"
2015-05-31,4323,"06 December, 2024"
2015-06-30,5120,"06 December, 2024"
2015-07-31,5672,"06 December, 2024"
2015-08-31,4704,"06 December, 2024"
2015-09-30,5688,"06 December, 2024"
2015-10-31,6014,"06 December, 2024"
2015-11-30,3805,"06 December, 2024"
2015-12-31,3839,"06 December, 2024"
2016-01-31,3984,"06 December, 2024"
2016-02-29,3247,"06 December, 2024"
2016-03-31,4366,"06 December, 2024"
2016-04-30,5162,"06 December, 2024"
2016-05-31,6690,"06 December, 2024"
2016-06-30,8630,"06 December, 2024"
2016-07-31,8291,"06 December, 2024"
2016-08-31,5735,"06 December, 2024"
2016-09-30,7271,"06 December, 2024"
2016-10-31,8564,"06 December, 2024"
2016-11-30,5817,"06 December, 2024"
2016-12-31,5913,"06 December, 2024"
2017-01-31,6834,"06 December, 2024"
2017-02-28,5131,"06 December, 2024"
2017-03-31,7201,"06 December, 2024"
2017-04-30,9088,"06 December, 2024"
2017-05-31,10117,"06 December, 2024"
2017-06-30,11590,"06 December, 2024"
2017-07-31,11941,"06 December, 2024"
2017-08-31,8148,"06 December, 2024"
2017-09-30,10545,"06 December, 2024"
2017-10-31,11036,"06 December, 2024"
2017-11-30,7950,"06 December, 2024"
2017-12-31,8139,"06 December, 2024"
2018-01-31,9383,"06 December, 2024"
2018-02-28,7515,"06 December, 2024"
2018-03-31,10448,"06 December, 2024"
2018-04-30,12336,"06 December, 2024"
2018-05-31,13066,"06 December, 2024"
2018-06-30,15097,"06 December, 2024"
2018-07-31,16104,"06 December, 2024"
2018-08-31,12675,"06 December, 2024"
2018-09-30,15491,"06 December, 2024"
2018-10-31,16457,"06 December, 2024"
2018-11-30,12908,"06 December, 2024"
2018-12-31,11412,"06 December, 2024"
2019-01-31,12407,"06 December, 2024"
2019-02-28,10168,"06 December, 2024"
2019-03-31,13825,"06 December, 2024"
2019-04-30,16524,"06 December, 2024"
2019-05-31,16499,"06 December, 2024"
2019-06-30,21147,"06 December, 2024"
2019-07-31,18999,"06 December, 2024"
2019-08-31,14817,"06 December, 2024"
2019-09-30,18820,"06 December, 2024"
2019-10-31,18134,"06 December, 2024"
2019-11-30,14904,"06 December, 2024"
2019-12-31,12838,"06 December, 2024"
2020-01-31,14957,"06 December, 2024"
2020-02-29,13226,"06 December, 2024"
2020-03-31,7163,"06 December, 2024"
2020-04-30,425,"06 December, 2024"
2020-05-31,954,"06 December, 2024"
2020-06-30,2537,"06 December, 2024"
2020-07-31,6055,"06 December, 2024"
2020-08-31,6540,"06 December, 2024"
2020-09-30,5952,"06 December, 2024"
2020-10-31,6401,"06 December, 2024"
2020-11-30,1873,"06 December, 2024"
2020-12-31,3635,"06 December, 2024"
2021-01-31,4598,"06 December, 2024"
2021-02-28,4568,"06 December, 2024"
2021-03-31,4143,"06 December, 2024"
2021-04-30,2950,"06 December, 2024"
2021-05-31,5560,"06 December, 2024"
2021-06-30,8621,"06 December, 2024"
2021-07-31,14166,"06 December, 2024"
2021-08-31,15293,"06 December, 2024"
2021-09-30,15810,"06 December, 2024"
2021-10-31,19139,"06 December, 2024"
2021-11-30,19120,"06 December, 2024"
2021-12-31,17538,"06 December, 2024"
2022-01-31,14411,"06 December, 2024"
2022-02-28,15257,"06 December, 2024"
2022-03-31,20257,"06 December, 2024"
2022-04-30,24910,"06 December, 2024"
2022-05-31,28064,"06 December, 2024"
2022-06-30,29116,"06 December, 2024"
2022-07-31,34278,"06 December, 2024"
2022-08-31,28890,"06 December, 2024"
2022-09-30,29334,"06 December, 2024"
2022-10-31,31216,"06 December, 2024"
2022-11-30,25838,"06 December, 2024"
2022-12-31,22999,"06 December, 2024"
2023-01-31,25519,"06 December, 2024"
2023-02-28,23021,"06 December, 2024"
2023-03-31,28683,"06 December, 2024"
2023-04-30,37061,"06 December, 2024"
2023-05-31,41837,"06 December, 2024"
2023-06-30,46082,"06 December, 2024"
2023-07-31,43682,"06 December, 2024"
2023-08-31,34499,"06 December, 2024"
2023-09-30,42544,"06 December, 2024"
2023-10-31,49545,"06 December, 2024"
2023-11-30,30420,"06 December, 2024"
2023-12-31,29321,"06 December, 2024"
2024-01-31,30124,"06 December, 2024"
2024-02-29,25606,"06 December, 2024"
2024-03-31,39176,"06 December, 2024"
2024-04-30,45695,"06 December, 2024"
2024-05-31,52769,"06 December, 2024"
2024-06-30,56497,"06 December, 2024"
2024-07-31,42641,"06 December, 2024"
2024-08-31,52000,"06 December, 2024"
2024-09-30,55419,"06 December, 2024"
2024-10-31,66179,"06 December, 2024"
2024-11-30,44296,"06 December, 2024"
2024-12-31,5925,"06 December, 2024"
2009-06-30,1,"06 June, 2025"
2009-07-31,2,"06 June, 2025"
