date,review_count,snapshot_date
2009-08-31,0,"06 June, 2025"
2009-09-30,1,"06 June, 2025"
2009-10-31,0,"06 June, 2025"
2009-11-30,0,"06 June, 2025"
2009-12-31,1,"06 June, 2025"
2010-01-31,1,"06 June, 2025"
2010-02-28,2,"06 June, 2025"
2010-03-31,1,"06 June, 2025"
2010-04-30,5,"06 June, 2025"
2010-05-31,12,"06 June, 2025"
2010-06-30,10,"06 June, 2025"
2010-07-31,19,"06 June, 2025"
2010-08-31,15,"06 June, 2025"
2010-09-30,31,"06 June, 2025"
2010-10-31,31,"06 June, 2025"
2010-11-30,30,"06 June, 2025"
2010-12-31,25,"06 June, 2025"
2011-01-31,24,"06 June, 2025"
2011-02-28,21,"06 June, 2025"
2011-03-31,38,"06 June, 2025"
2011-04-30,57,"06 June, 2025"
2011-05-31,75,"06 June, 2025"
2011-06-30,105,"06 June, 2025"
2011-07-31,84,"06 June, 2025"
2011-08-31,84,"06 June, 2025"
2011-09-30,120,"06 June, 2025"
2011-10-31,148,"06 June, 2025"
2011-11-30,116,"06 June, 2025"
2011-12-31,89,"06 June, 2025"
2012-01-31,134,"06 June, 2025"
2012-02-29,101,"06 June, 2025"
2012-03-31,152,"06 June, 2025"
2012-04-30,201,"06 June, 2025"
2012-05-31,251,"06 June, 2025"
2012-06-30,282,"06 June, 2025"
2012-07-31,344,"06 June, 2025"
2012-08-31,293,"06 June, 2025"
2012-09-30,400,"06 June, 2025"
2012-10-31,441,"06 June, 2025"
2012-11-30,343,"06 June, 2025"
2012-12-31,281,"06 June, 2025"
2013-01-31,421,"06 June, 2025"
2013-02-28,258,"06 June, 2025"
2013-03-31,445,"06 June, 2025"
2013-04-30,626,"06 June, 2025"
2013-05-31,720,"06 June, 2025"
2013-06-30,920,"06 June, 2025"
2013-07-31,981,"06 June, 2025"
2013-08-31,702,"06 June, 2025"
2013-09-30,1007,"06 June, 2025"
2013-10-31,982,"06 June, 2025"
2013-11-30,748,"06 June, 2025"
2013-12-31,762,"06 June, 2025"
2014-01-31,910,"06 June, 2025"
2014-02-28,646,"06 June, 2025"
2014-03-31,925,"06 June, 2025"
2014-04-30,1499,"06 June, 2025"
2014-05-31,1594,"06 June, 2025"
2014-06-30,2052,"06 June, 2025"
2014-07-31,2151,"06 June, 2025"
2014-08-31,1927,"06 June, 2025"
2014-09-30,2515,"06 June, 2025"
2014-10-31,2825,"06 June, 2025"
2014-11-30,1860,"06 June, 2025"
2014-12-31,1957,"06 June, 2025"
2015-01-31,2237,"06 June, 2025"
2015-02-28,1601,"06 June, 2025"
2015-03-31,2206,"06 June, 2025"
2015-04-30,3336,"06 June, 2025"
2015-05-31,4084,"06 June, 2025"
2015-06-30,4775,"06 June, 2025"
2015-07-31,5349,"06 June, 2025"
2015-08-31,4488,"06 June, 2025"
2015-09-30,5381,"06 June, 2025"
2015-10-31,5682,"06 June, 2025"
2015-11-30,3611,"06 June, 2025"
2015-12-31,3644,"06 June, 2025"
2016-01-31,3708,"06 June, 2025"
2016-02-29,3049,"06 June, 2025"
2016-03-31,4106,"06 June, 2025"
2016-04-30,4847,"06 June, 2025"
2016-05-31,6288,"06 June, 2025"
2016-06-30,8143,"06 June, 2025"
2016-07-31,7839,"06 June, 2025"
2016-08-31,5425,"06 June, 2025"
2016-09-30,6914,"06 June, 2025"
2016-10-31,8071,"06 June, 2025"
2016-11-30,5472,"06 June, 2025"
2016-12-31,5627,"06 June, 2025"
2017-01-31,6438,"06 June, 2025"
2017-02-28,4846,"06 June, 2025"
2017-03-31,6850,"06 June, 2025"
2017-04-30,8601,"06 June, 2025"
2017-05-31,9548,"06 June, 2025"
2017-06-30,10995,"06 June, 2025"
2017-07-31,11366,"06 June, 2025"
2017-08-31,7805,"06 June, 2025"
2017-09-30,9979,"06 June, 2025"
2017-10-31,10493,"06 June, 2025"
2017-11-30,7587,"06 June, 2025"
2017-12-31,7774,"06 June, 2025"
2018-01-31,8880,"06 June, 2025"
2018-02-28,7149,"06 June, 2025"
2018-03-31,9909,"06 June, 2025"
2018-04-30,11716,"06 June, 2025"
2018-05-31,12409,"06 June, 2025"
2018-06-30,14292,"06 June, 2025"
2018-07-31,15155,"06 June, 2025"
2018-08-31,11977,"06 June, 2025"
2018-09-30,14577,"06 June, 2025"
2018-10-31,15532,"06 June, 2025"
2018-11-30,12133,"06 June, 2025"
2018-12-31,10724,"06 June, 2025"
2019-01-31,11657,"06 June, 2025"
2019-02-28,9564,"06 June, 2025"
2019-03-31,13005,"06 June, 2025"
2019-04-30,15473,"06 June, 2025"
2019-05-31,15385,"06 June, 2025"
2019-06-30,19682,"06 June, 2025"
2019-07-31,17801,"06 June, 2025"
2019-08-31,13803,"06 June, 2025"
2019-09-30,17585,"06 June, 2025"
2019-10-31,16948,"06 June, 2025"
2019-11-30,13914,"06 June, 2025"
2019-12-31,11942,"06 June, 2025"
2020-01-31,13916,"06 June, 2025"
2020-02-29,12260,"06 June, 2025"
2020-03-31,6650,"06 June, 2025"
2020-04-30,392,"06 June, 2025"
2020-05-31,905,"06 June, 2025"
2020-06-30,2329,"06 June, 2025"
2020-07-31,5540,"06 June, 2025"
2020-08-31,6043,"06 June, 2025"
2020-09-30,5460,"06 June, 2025"
2020-10-31,5924,"06 June, 2025"
2020-11-30,1690,"06 June, 2025"
2020-12-31,3324,"06 June, 2025"
2021-01-31,4238,"06 June, 2025"
2021-02-28,4193,"06 June, 2025"
2021-03-31,3796,"06 June, 2025"
2021-04-30,2733,"06 June, 2025"
2021-05-31,5161,"06 June, 2025"
2021-06-30,8031,"06 June, 2025"
2021-07-31,13191,"06 June, 2025"
2021-08-31,14067,"06 June, 2025"
2021-09-30,14642,"06 June, 2025"
2021-10-31,17784,"06 June, 2025"
2021-11-30,17595,"06 June, 2025"
2021-12-31,16116,"06 June, 2025"
2022-01-31,13182,"06 June, 2025"
2022-02-28,13855,"06 June, 2025"
2022-03-31,18391,"06 June, 2025"
2022-04-30,22745,"06 June, 2025"
2022-05-31,25648,"06 June, 2025"
2022-06-30,26514,"06 June, 2025"
2022-07-31,31243,"06 June, 2025"
2022-08-31,26177,"06 June, 2025"
2022-09-30,26435,"06 June, 2025"
2022-10-31,27995,"06 June, 2025"
2022-11-30,23047,"06 June, 2025"
2022-12-31,20563,"06 June, 2025"
2023-01-31,22932,"06 June, 2025"
2023-02-28,20586,"06 June, 2025"
2023-03-31,25582,"06 June, 2025"
2023-04-30,33225,"06 June, 2025"
2023-05-31,37492,"06 June, 2025"
2023-06-30,40907,"06 June, 2025"
2023-07-31,39024,"06 June, 2025"
2023-08-31,30718,"06 June, 2025"
2023-09-30,37554,"06 June, 2025"
2023-10-31,43519,"06 June, 2025"
2023-11-30,26522,"06 June, 2025"
2023-12-31,25536,"06 June, 2025"
2024-01-31,26252,"06 June, 2025"
2024-02-29,22169,"06 June, 2025"
2024-03-31,34101,"06 June, 2025"
2024-04-30,39760,"06 June, 2025"
2024-05-31,45730,"06 June, 2025"
2024-06-30,48692,"06 June, 2025"
2024-07-31,36592,"06 June, 2025"
2024-08-31,44292,"06 June, 2025"
2024-09-30,46473,"06 June, 2025"
2024-10-31,55281,"06 June, 2025"
2024-11-30,38917,"06 June, 2025"
2024-12-31,40237,"06 June, 2025"
2025-01-31,39370,"06 June, 2025"
2025-02-28,34892,"06 June, 2025"
2025-03-31,47334,"06 June, 2025"
2025-04-30,60377,"06 June, 2025"
2025-05-31,62587,"06 June, 2025"
2025-06-30,31470,"06 June, 2025"
2010-01-31,1,"12 September, 2025"
2010-02-28,0,"12 September, 2025"
2010-03-31,0,"12 September, 2025"
2010-04-30,2,"12 September, 2025"
2010-05-31,11,"12 September, 2025"
2010-06-30,6,"12 September, 2025"
2010-07-31,18,"12 September, 2025"
2010-08-31,15,"12 September, 2025"
2010-09-30,31,"12 September, 2025"
2010-10-31,26,"12 September, 2025"
2010-11-30,30,"12 September, 2025"
2010-12-31,24,"12 September, 2025"
2011-01-31,24,"12 September, 2025"
2011-02-28,21,"12 September, 2025"
2011-03-31,38,"12 September, 2025"
2011-04-30,55,"12 September, 2025"
2011-05-31,73,"12 September, 2025"
2011-06-30,102,"12 September, 2025"
2011-07-31,84,"12 September, 2025"
2011-08-31,83,"12 September, 2025"
2011-09-30,120,"12 September, 2025"
2011-10-31,151,"12 September, 2025"
2011-11-30,118,"12 September, 2025"
2011-12-31,90,"12 September, 2025"
2012-01-31,136,"12 September, 2025"
2012-02-29,103,"12 September, 2025"
2012-03-31,151,"12 September, 2025"
2012-04-30,202,"12 September, 2025"
2012-05-31,250,"12 September, 2025"
2012-06-30,281,"12 September, 2025"
2012-07-31,341,"12 September, 2025"
2012-08-31,286,"12 September, 2025"
2012-09-30,396,"12 September, 2025"
2012-10-31,445,"12 September, 2025"
2012-11-30,335,"12 September, 2025"
2012-12-31,284,"12 September, 2025"
2013-01-31,421,"12 September, 2025"
2013-02-28,252,"12 September, 2025"
2013-03-31,439,"12 September, 2025"
2013-04-30,612,"12 September, 2025"
2013-05-31,702,"12 September, 2025"
2013-06-30,884,"12 September, 2025"
2013-07-31,954,"12 September, 2025"
2013-08-31,692,"12 September, 2025"
2013-09-30,985,"12 September, 2025"
2013-10-31,962,"12 September, 2025"
2013-11-30,740,"12 September, 2025"
2013-12-31,764,"12 September, 2025"
2014-01-31,902,"12 September, 2025"
2014-02-28,650,"12 September, 2025"
2014-03-31,923,"12 September, 2025"
2014-04-30,1484,"12 September, 2025"
2014-05-31,1575,"12 September, 2025"
2014-06-30,2028,"12 September, 2025"
2014-07-31,2136,"12 September, 2025"
2014-08-31,1902,"12 September, 2025"
2014-09-30,2478,"12 September, 2025"
2014-10-31,2779,"12 September, 2025"
2014-11-30,1831,"12 September, 2025"
2014-12-31,1908,"12 September, 2025"
2015-01-31,2189,"12 September, 2025"
2015-02-28,1575,"12 September, 2025"
2015-03-31,2180,"12 September, 2025"
2015-04-30,3261,"12 September, 2025"
2015-05-31,4009,"12 September, 2025"
2015-06-30,4692,"12 September, 2025"
2015-07-31,5245,"12 September, 2025"
2015-08-31,4376,"12 September, 2025"
2015-09-30,5295,"12 September, 2025"
2015-10-31,5574,"12 September, 2025"
2015-11-30,3525,"12 September, 2025"
2015-12-31,3584,"12 September, 2025"
2016-01-31,3641,"12 September, 2025"
2016-02-29,3000,"12 September, 2025"
2016-03-31,4032,"12 September, 2025"
2016-04-30,4752,"12 September, 2025"
2016-05-31,6199,"12 September, 2025"
2016-06-30,8036,"12 September, 2025"
2016-07-31,7697,"12 September, 2025"
2016-08-31,5349,"12 September, 2025"
2016-09-30,6823,"12 September, 2025"
2016-10-31,7941,"12 September, 2025"
2016-11-30,5376,"12 September, 2025"
2016-12-31,5543,"12 September, 2025"
2017-01-31,6322,"12 September, 2025"
2017-02-28,4769,"12 September, 2025"
2017-03-31,6727,"12 September, 2025"
2017-04-30,8442,"12 September, 2025"
2017-05-31,9373,"12 September, 2025"
2017-06-30,10825,"12 September, 2025"
2017-07-31,11128,"12 September, 2025"
2017-08-31,7621,"12 September, 2025"
2017-09-30,9778,"12 September, 2025"
2017-10-31,10249,"12 September, 2025"
2017-11-30,7386,"12 September, 2025"
2017-12-31,7576,"12 September, 2025"
2018-01-31,8649,"12 September, 2025"
2018-02-28,6980,"12 September, 2025"
2018-03-31,9699,"12 September, 2025"
2018-04-30,11439,"12 September, 2025"
2018-05-31,12143,"12 September, 2025"
2018-06-30,13970,"12 September, 2025"
2018-07-31,14823,"12 September, 2025"
2018-08-31,11686,"12 September, 2025"
2018-09-30,14209,"12 September, 2025"
2018-10-31,15168,"12 September, 2025"
2018-11-30,11872,"12 September, 2025"
2018-12-31,10472,"12 September, 2025"
2019-01-31,11385,"12 September, 2025"
2019-02-28,9357,"12 September, 2025"
2019-03-31,12739,"12 September, 2025"
2019-04-30,15191,"12 September, 2025"
2019-05-31,15015,"12 September, 2025"
2019-06-30,19224,"12 September, 2025"
2019-07-31,17347,"12 September, 2025"
2019-08-31,13437,"12 September, 2025"
2019-09-30,17144,"12 September, 2025"
2019-10-31,16537,"12 September, 2025"
2019-11-30,13613,"12 September, 2025"
2019-12-31,11692,"12 September, 2025"
2020-01-31,13616,"12 September, 2025"
2020-02-29,11935,"12 September, 2025"
2020-03-31,6481,"12 September, 2025"
2020-04-30,368,"12 September, 2025"
2020-05-31,871,"12 September, 2025"
2020-06-30,2240,"12 September, 2025"
2020-07-31,5361,"12 September, 2025"
2020-08-31,5882,"12 September, 2025"
2020-09-30,5142,"12 September, 2025"
2020-10-31,5420,"12 September, 2025"
2020-11-30,1586,"12 September, 2025"
2020-12-31,3060,"12 September, 2025"
2021-01-31,4045,"12 September, 2025"
2021-02-28,4013,"12 September, 2025"
2021-03-31,3663,"12 September, 2025"
2021-04-30,2672,"12 September, 2025"
2021-05-31,4986,"12 September, 2025"
2021-06-30,7578,"12 September, 2025"
2021-07-31,12523,"12 September, 2025"
2021-08-31,13374,"12 September, 2025"
2021-09-30,13951,"12 September, 2025"
2021-10-31,17033,"12 September, 2025"
2021-11-30,17023,"12 September, 2025"
2021-12-31,15530,"12 September, 2025"
2022-01-31,12731,"12 September, 2025"
2022-02-28,13374,"12 September, 2025"
2022-03-31,17836,"12 September, 2025"
2022-04-30,21921,"12 September, 2025"
2022-05-31,24764,"12 September, 2025"
2022-06-30,25525,"12 September, 2025"
2022-07-31,30070,"12 September, 2025"
2022-08-31,25224,"12 September, 2025"
2022-09-30,25419,"12 September, 2025"
2022-10-31,26794,"12 September, 2025"
2022-11-30,22091,"12 September, 2025"
2022-12-31,19697,"12 September, 2025"
2023-01-31,21986,"12 September, 2025"
2023-02-28,19700,"12 September, 2025"
2023-03-31,24342,"12 September, 2025"
2023-04-30,31597,"12 September, 2025"
2023-05-31,35834,"12 September, 2025"
2023-06-30,39017,"12 September, 2025"
2023-07-31,37283,"12 September, 2025"
2023-08-31,29337,"12 September, 2025"
2023-09-30,35759,"12 September, 2025"
2023-10-31,41345,"12 September, 2025"
2023-11-30,25002,"12 September, 2025"
2023-12-31,24016,"12 September, 2025"
2024-01-31,24828,"12 September, 2025"
2024-02-29,20898,"12 September, 2025"
2024-03-31,32147,"12 September, 2025"
2024-04-30,37405,"12 September, 2025"
2024-05-31,42988,"12 September, 2025"
2024-06-30,45692,"12 September, 2025"
2024-07-31,34365,"12 September, 2025"
2024-08-31,41467,"12 September, 2025"
2024-09-30,43238,"12 September, 2025"
2024-10-31,51309,"12 September, 2025"
2024-11-30,35928,"12 September, 2025"
2024-12-31,37053,"12 September, 2025"
2025-01-31,36159,"12 September, 2025"
2025-02-28,31827,"12 September, 2025"
2025-03-31,43221,"12 September, 2025"
2025-04-30,55079,"12 September, 2025"
2025-05-31,56597,"12 September, 2025"
2025-06-30,71327,"12 September, 2025"
2025-07-31,57706,"12 September, 2025"
2025-08-31,47043,"12 September, 2025"
2025-09-30,12040,"12 September, 2025"
